50/10 UPHOLSTERY,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0659-519,*FR:EAC KARNES QSL71  KRFSO2QS,1,"$3,399",1
0231-338,EAC LOUNGE II PTSF 1670-SAB CE,2,"$3,051",2
0365-362,MARLOWE DYBD 1247-DBB PLATINUM,3,"$2,588",2
0106-037,EAC BRIARWOOD CH L1017-01 PLTN,4,"$2,199",1
0324-934,AIDAN SF 681-5012 OLIVE       ,5,"$2,124",1
0106-084,COOPER CH LTHR L1649-01 FAWN  ,6,"$1,899",1
0106-373,EAC PETRIE ASF 271-5012-76 FLT,7,"$1,799",1
0532-182,*FR:INFINITI SF N2817 OATMEAL ,8,"$1,799",1
0221-013,EAC AXIS II SF 1353-SAB NICKEL,9,"$1,614",1
0302-835,LOUNGE II SF 93  1470-GAB CEME,10,"$1,529",1
0335-319,AIDAN CH 681-2000 OLIVE       ,11,"$1,487",1
0659-615,EAC DRYDEN ASF 1497-PAB FOG   ,12,"$1,449",1
0228-968,EAC MONTCLAIR SF 1385-SAB NCKL,13,"$1,444",1
0654-610,EAC BARRETT RA ASF 1794-PR OTT,14,"$1,299",1
0654-317,EAC BARRETT ARMLS LV 1794-LO A,15,"$1,199",1
0339-735,BRYN CH 2570C LINEN           ,16,"$1,198",2
0654-657,EAC BARRETT LA CHS 1794-CL OTT,17,"$1,100",1
0259-634,EAC HARBORSIDE CH C5631-01 SNW,18,$999,1
0654-733,EAC BARRETT CNR 1794-EE OTT   ,19,$899,1
0677-274,CAVETT CH 1124-CA3 SPICE      ,20,$769,1
0535-300,*FR:INFINITI OT N2811 OATMEAL ,21,$599,1
0567-483,ANKARA CH ASH GREY WASH       ,22,$509,1
0610-119,HAVEN SWCH 1292-CSS GLINDA EAR,23,$500,1
0221-097,EAC AXIS II OT 1353-OAB NICKEL,24,$499,1
0259-642,EAC HARBORSIDE OT C5631-00 SNW,25,$399,1
0320-303,ANKARA CSHN 4061-CAI CREME    ,26,$170,1
0336-744,STOW STOT LTHR OYSTER         ,27,$149,1
0311-818,STOW STOT LTHR PERSIMMON      ,28,$104,1
0103-357,BLAKE LOUNGE CH FSC GREY WASH ,29,$0,0
0106-096,CULLEN II SF 7883-03 INDIGO   ,30,$0,0
0106-389,PETRIE SF 271-5012 FELT GREY  ,31,$0,0
0220-392,TALIA 360 SWCH 3121-01SW OATML,32,$0,0
0221-240,EAC AXIS II QSL 1353-QAB NICKL,33,$0,0
0225-457,AXIS II ARMLS LV 1353-LOB NICK,34,$0,0
0225-774,AXIS II LA ASF 1353-PLB NICKEL,35,$0,0
0226-055,EAC AXIS II RAASF 1353-PRB COF,36,$0,0
0226-070,AXIS II LA CHS 1353-CLB NICKEL,37,$0,0
0226-136,AXIS II RA CHS 1353-CRB NICKEL,38,$0,0
0226-194,AXIS II CNR 1353-EEB NICKEL   ,39,$0,0
0228-879,MONTCLAIR SF 1385-SAB NATURAL ,40,$0,0
0231-388,EAC LOUNGE II PTSF 1670-SAB TR,41,$0,0
0231-457,LOUNGE II SFLTHR 1470-SALB    ,42,$0,0
0231-481,LOUNGE II PT SWCH LTHR 1670 SM,43,$0,0
0236-254,ROCHELLE SF 755-5013 DESERT   ,44,$0,0
0251-602,EAC DAVIS TSL 1172-T2B GRAPHIT,45,$0,0
0251-678,GARBO CH LTHR L1723-01 BOURBON,46,$0,0
0251-814,EAC DAVIS LA CHS 1172-CLB GRPH,47,$0,0
0253-418,EAC AXIS II SFLTHR 1353-SALB E,48,$0,0
0253-523,AXIS II SWCH LTH 1353CSLB5 ESP,49,$0,0
0255-949,PENNIE CH 2527 CORNFLOWER     ,50,$0,0
0260-017,HATHAWAY SG C1600-01SG SNOW   ,51,$0,0
0268-470,*FR:VERANO SF N2587 CANVAS    ,52,$0,0
0268-544,*FR:EAC VERANO CH N2582 CANVAS,53,$0,0
0268-772,DAVIS LNGR 1172GCB/BSB GRAPHIT,54,$0,0
0271-157,BRIARWOOD CH LTH L1017-01 OAK ,55,$0,0
0271-173,BRIARWOOD OT LTH L1017-00 OAK ,56,$0,0
0296-288,MARGOT SF 706-5011-72 MIDNIGHT,57,$0,0
0296-482,EAC MARGOT LV 706-4011 MIDNGHT,58,$0,0
0302-850,EAC LOUNGE II SF 1470-SAB CEMN,59,$0,0
0303-352,EAC LOUNGE II LASF 1470-SLB CE,60,$0,0
0303-378,EAC LOUNGE II RASF 1470-SRB CE,61,$0,0
0303-734,EAC LOUNGE II CNR 1470-EEB CEM,62,$0,0
0311-737,STOW STOT LTHR CHOCOLATE,63,$0,0
0311-760,STOW STOT LTHR OCEAN,64,$0,0
0354-303,PATRICE CH 813-2000 AZURE,65,$0,0
0365-304,ELYSE CH 1421-CAB NAVY,66,$0,0
0479-523,MILO CH 951-103CB SLATE,67,$0,0
0481-660,EAC BLAKE CH CSHN 4032-CAI SND,68,$0,0
0483-043,EAC DAVIS LNGR 1172-GCB/BSB AS,69,$0,0
0483-124,EAC DAVIS RA ASF 1172-PRB ASH ,70,$0,0
0483-162,EAC DAVIS LA CHS 1172-CLB ASH ,71,$0,0
0483-522,EAC LOUNGE II SF 93  1470GAB S,72,$0,0
0483-600,EAC LOUNGE II CH1/2 1470C2B ST,73,$0,0
0483-635,EAC LOUNGE II LASF 1470-SLB ST,74,$0,0
0483-681,EAC LOUNGE II RACHS 1470CRB ST,75,$0,0
0658-914,LOUNGE II STOT TRAY 147020BT C,76,$0,0
0311-834,STOW STOT LTHR SMOKE,77,$-149,-1
0236-466,EAC ROCHELLE CH 755-2000 SMOKE,78,"$-1,019",-1
0236-327,EAC ROCHELLE SF 755-5013 SMKE ,79,"$-1,869",-1
0262-904,TREVOR CH LTHR L1935-01 CAMEL ,80,"$-2,199",-1
50/15 CUSTOM,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0141-550,LEE REPLACEMENT PART,1,$0,1
0141-909,MCCREARY REPLACEMENT CORE,2,$0,0
50/20 SPECIAL ORDER,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0421-303,SP/1353-GCLQBLM/BSLB AXIS LA Q,1,"$4,795",1
0421-349,SP/1353-GCLQBRM/BSLB AXIS RA Q,2,"$4,795",1
0354-515,SP/813-2000 PATRICE CH        ,3,"$2,378",2
0656-738,920-5011-80 MARGOT SF 80      ,4,"$1,915",1
0212-059,SP/L1723-01 GARBO CHAIR       ,5,"$1,869",1
0595-460,1421-CAB ELYSE CH LANDRY      ,6,"$1,528",2
0137-288,SP/1470-BRB LOUNGE II RA BMPR ,7,"$1,169",1
0305-087,SP/1470-EEB LOUNGE II CNR     ,8,$899,1
0305-817,SP/1470-A2B LOUNGE II ARMLS CH,9,$719,1
0658-543,1497-CKB DRDYEN OT SQ 37      ,10,$713,1
0526-654,1470-20BD LOUNGE II DEEP STOT ,11,$599,1
0117-613,MTO ACID ETCH C TABLE         ,12,$523,3
0506-575,MCCREARY ALL OTHER CUSTOM ORDR,13,$246,2
0594-005,SD 20  OUTDOOR PLW CANVAS BLK ,14,$160,4
0594-412,SD 20X13 OTDR PLW CABANA CLSSC,15,$72,2
0108-327,SP/1172-FAB DAVIS FSL         ,16,$0,0
